case_id,dataset_group,experiment,run,root_service,entry_service,entry_index_0based,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,root_path_score,root_pearson_score,root_final_score,root_in_top_paths,dycause_entry_arg,entry_arg_zero_based
extended_el_e2_mesh_run10,sockshop_mesh_extended,el_e2,run10,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > carts > user > shipping > orders > payment,0.5267312049372411,0.013333333333333334,0.5133978716039078,0.5267312049372411,True,1,False
extended_el_e3_mesh_run01,sockshop_mesh_extended,el_e3,run01,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > orders > user > shipping > carts,0.31026092447009557,0.0,0.31026092447009557,0.31026092447009557,False,0,True
extended_el_e3_mesh_run01,sockshop_mesh_extended,el_e3,run01,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > orders > user > shipping > carts,0.31026092447009557,0.0,0.31026092447009557,0.31026092447009557,False,1,False
extended_el_e4_mesh_run01,sockshop_mesh_extended,el_e4,run01,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > user > orders > carts > shipping,0.759374243873978,0.006666666666666667,0.7527075772073113,0.759374243873978,True,0,True
extended_el_e4_mesh_run01,sockshop_mesh_extended,el_e4,run01,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > user > orders > carts > shipping,0.7527075772073113,0.0,0.7527075772073113,0.7527075772073113,False,1,False
extended_el_e4_mesh_run02,sockshop_mesh_extended,el_e4,run02,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,shipping > catalogue > user > orders > carts > payment,0.1020291637690381,0.013333333333333334,0.08869583043570477,0.1020291637690381,True,0,True
extended_el_e4_mesh_run02,sockshop_mesh_extended,el_e4,run02,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,shipping > catalogue > user > orders > carts > payment,0.09536249710237144,0.006666666666666667,0.08869583043570477,0.09536249710237144,True,1,False
extended_el_e4_mesh_run03,sockshop_mesh_extended,el_e4,run03,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > user > shipping > catalogue > carts > payment,0.23650703035504228,0.0,0.23650703035504228,0.23650703035504228,False,0,True
extended_el_e4_mesh_run03,sockshop_mesh_extended,el_e4,run03,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > user > shipping > catalogue > carts > payment,0.23650703035504228,0.0,0.23650703035504228,0.23650703035504228,False,1,False
extended_el_e4_mesh_run04,sockshop_mesh_extended,el_e4,run04,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > user > shipping > carts > payment,0.3954481052602788,0.0,0.3954481052602788,0.3954481052602788,False,0,True
extended_el_e4_mesh_run04,sockshop_mesh_extended,el_e4,run04,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > user > shipping > carts > payment,0.4154481052602788,0.02,0.3954481052602788,0.4154481052602788,True,1,False
extended_el_e4_mesh_run05,sockshop_mesh_extended,el_e4,run05,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,user > orders > carts > catalogue > payment > shipping,0.5810688071590202,0.006666666666666667,0.5744021404923535,0.5810688071590202,True,0,True
extended_el_e4_mesh_run05,sockshop_mesh_extended,el_e4,run05,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,user > orders > carts > catalogue > payment > shipping,0.5810688071590202,0.006666666666666667,0.5744021404923535,0.5810688071590202,True,1,False
extended_el_e4_mesh_run06,sockshop_mesh_extended,el_e4,run06,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > shipping > user > catalogue > carts > payment,0.21738457014437174,0.0,0.21738457014437174,0.21738457014437174,True,0,True
extended_el_e4_mesh_run06,sockshop_mesh_extended,el_e4,run06,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > shipping > user > catalogue > carts > payment,0.21738457014437174,0.0,0.21738457014437174,0.21738457014437174,False,1,False
